@^,date,label,@_numbands.rng,@_pa.amt,@_mma.amt,@_mmarate.rate,@_ctc.amt,@_ctcyng.amt,@_ctctaper.rate,@_c4rebate.rate,@_bands.amt[],@_rates.rate[]
@?,,,,Personal Allowance,MCA/APA,MCA/APA rate,Children's Tax Credit (basic),Children's Tax Credit (baby),,Class 4 Rebate,Income Tax Bands,Income Tax Rates
@.,,,,52,52,,52,52,,,,
@#,19900604,historic,2,3005,1720,,,,,0.5,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,19910604,historic,2,3295,1720,,,,,0.5,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,19920604,historic,3,3445,1720,,,,,0.5,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,19930604,historic,3,3445,1720,,,,,0.5,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,19940604,historic,3,3445,1720,0.2,,,,0.5,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,19950604,historic,3,3525,1720,1.5,,,,0.5,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,19960604,historic,3,3765,1790,1.5,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,19970604,historic,3,4045,1830,0.15,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,19980604,historic,3,4195,1900,0.15,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,19990604,historic,3,4335,1970,0.1,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,20000604,historic,3,4385,,,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,20010604,historic,3,4535,,,520,0,0.07,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,20020604,historic,3,4615,,,529,529,0.07,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,20030604,historic,3,4615,,,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,20040604,historic,3,4745,,,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,20050604,historic,3,4895,,,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,20060604,historic,3,5035,,,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,20070604,historic,3,5225,,,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,20080604,historic,2,6035,,,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,20090604,historic,2,6475,,,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
@#,20100604,historic,3,6475,,,,,,,"@>""itbandsrates.csv""","@>""itbandsrates.csv"""
